QID	TITLE	BODY	CATEGORY	PUBLISHEDDATE
YA:20160517002215AAn0O6y	"About bed sheets, which one is a better choice?"	"I used to buy silk sheets. A big trouble that silk always fall down  bed. Thus I buy cotton sheets intead of silk ones. But My husband likes the softness of  silk sheets. I can't agree with him. The  one hundred per cent Cotton sheet is also soft and comfortable, like this one I have bought:/nhttp://www.amazon.com/dp/B00O0LJZGA/nAnd the cotton is cheaper than silk. If you , which one will you choose?? Silk or Cotton Sheets?? and why??"	Decorating & Remodeling	1463469735000
YA:20160517002400AA2aV3M	Similar styles to the Dubarry Longford Leather Boot?	Hi! I was wondering if there were any styles of boots that look like the Dubarry Longford Leather Boot. I will be traveling to Ireland for a few months and I really would love a stylish yet durable boot that wont get ruined on my stay there. Thanks so much!	Fashion & Accessories	1463469840000
YA:20160517002554AAT09p0	How come Triple H fired China for doing porn but not X Pac or Hulk Hogan?		Wrestling	1463469954000
YA:20160517002649AA1YqGG	My results were ''non reactive'' for HIV 1 & 2 Antigens test.?	"I got my results and it said ''non reactive'', I am sure that means negative. The question is I might have been exposed 4 days before the test. Do I need to take another test? Should I avoid sexual activity for some time?"	STDs	1463470009000
YA:20160517003118AAS1vS7	Do I have ADHD?	"When I was a kid, I used to be able to fly through books easily. I was able to give them my full concentration and I never had issues with distractions or anything. Sure, I would lose focus while doing schoolwork or being taught, but I could read. In elementary school I got a 55/100 in math but I got a full grade on my reading TAKS test. Now, I can't read without hearing echoes of voices or having trains of thought or hearing a song I'd heard five years ago. It's so annoying and it infuriates me. It's like having a filmy gray barrier between myself and the story. I so, so, so badly want to give the book my full concentration like I used to but I can't. It makes me so ridiculously sad. Every time I pick up a book, regardless of how compelling it may be, I can only read a certain number of lines at a time before my brain runs away from me. What do I do?!? I've told my parents about this but they just tell me to try harder. I've suggested to my mom that I could have ADHD but she says it doesn't exist. Is there anything I can do?"	Mental Health	1463470278000
YA:20160517003210AAbUxb6	Help! When should I seek medical attention for a tick bite?	"I pulled a tick off of me yesterday, I Have identified it as an adult female deer tick. The location that I pulled it from was painful at the time that I found her, and I pulled her off before I realized it was a tick. She did not seem engorged, but I had pulled her off with my fingernails. There is now a black spot approx. 1/2'' diameter with a thin red ring around it, and the whole site is raised. Should I consult a doctor?"	Other - Diseases	1463470330000
YA:20160517003516AAxg3zs	"Help plan b, am I pregnant?"	"Had unprotected sex and he came in me, next day took a plan b pill and then 20 min later had Sex and he came in me again. I've been nauseous and had a lot of discharge since, and today(5 days after taking the pill) I had a lot of brown/pinkish discharge and had to put a tampon in for a little bit. Is this normal plan b side effects???"	Women's Health	1463470516000
YA:20160517003619AAPhCwd	Anyone know is there have any bus for klang to centro mall?? Please dont tell have to take kl bus:/?		Malaysia	1463470579000
YA:20160517003640AADqQx3	Can you help direct me to where I may find a 16 x 6.5 rim for my 1999 Honda Prelude?		Maintenance & Repairs	1463470600000
YA:20160517003955AAmM3GE	Is it better to be born in the poorest country of Africa than in Romania?	I am a former Romanian citizen of non Romanian origin. a European ancestry anyway.	Other - Europe	1463470795000
YA:20160517004113AA7Styn	My hamster can't move.Fly's are flying over him.Will he die? his still breathing.How can I help him?		Rodents	1463470873000
YA:20160517004420AAkILNC	Ford modeling agency! Help please !?	"I sent in my picture to ford models, through their Instagram page, they told me they liked my look and I should send more online! So I did its past two-three weeks now and I haven't heard anything! But whenever I try to resubmit it says my email is still on file. What does this mean?"	Other - Beauty & Style	1463471060000
YA:20160517004849AAqjhOb	"After swimming, ear clogged up with fluid, pain - help!?"	"My boyfriend and I went swimming last weekend, and afterwards was complaining of his ears feeling clogged up. This feeling hasn t stopped for almost four days, and he s complaining of a pain. His grandmother put alcohol in his ear, but it apparently got stuck and so now that s in there too. He says the pain is like something is trying to expand his ear canal. We ve tried simple exercises for fluid removal (for swimmer s ear, and even blocked Eustachian tubes), but nothing s working. Please help, I don t want to see my love in pain any longer!"	Pain & Pain Management	1463471329000
YA:20160517005145AAEfQY5	Can I take Final Exit here in Saudi Arabia on 30 October 2017 with my Philippine passport about to expire on 17November 2017?		Philippines	1463471505000
YA:20160517005444AASH4SF	Anybody know the exact outfit Lauren Benett was wearing in the LMFAO video?	"What kind of Corset, Panties and Stockings was she wearing??"	Fashion & Accessories	1463471684000
YA:20160517005636AAlywyZ	"Does lack of sleep cause mania, or does mania cause lack of sleep?"	"Hi. I have schizoaffective and have only had one manic episode that lasted a month and led to severe psychosis. I don't know what triggered it. But I'm wary of becoming manic again....it's inevitable that there will be times where I won't get much sleep, and there's nothing I can do about it. I'm not sure if it'll be ok or what I can do. What comes first ??"	Mental Health	1463471796000
YA:20160517005810AAvq29W	Copper paraGard IUD causes lighter period?	"Quick back story that led to me getting the IUD: boyfriend and I had unprotected sex for the first time and it happened to be the same day I was ovulating. He used withdrawal method but I was still nervous about it so the next day I made an appointment for a few days later to get the IUD. I read it can prevent pregnancy up to 5 days after unprotected sex and blah blah blah. When I went to the clinic they gave me a pregnancy test and it was negative, but it had only been 3 days since we had sex. That's not something I'm worried about. I'm sure I'm fine. /n/nAnyway, I was supposed to start my period yesterday and it came one day early but I've only been having very light flow. Like even light flow tampons are for the most part clean. Ocassionly I get a bad cramp thatll last a few seconds and then I'm back to being fine. I always read the copper iud can make flows heavier and more painful. Anyone else experience this? Should I expect the worst to come?"	Women's Health	1463471890000
YA:20160517005928AAYt1R4	My dog has bumps all over her body?	she is running real fast and she has to be in the cool or she just scratches and runs she seems like shes in alot of pain its 3 in the damn morning and i dont know what to do?	Dogs	1463471968000
YA:20160517010057AAMpprR	Am I a non conformist?	"Most of my friends wear weird sh*t, but I just wear a plain dark-colored round neck tee or polo tee and normal jeans (not skinny, not ripped, no sagging) /n/nSo by not conforming to their non conformism am I a non conformist?"	Fashion & Accessories	1463472057000
YA:20160517010120AAXOhU1	Gaining weight?	"I'm 17, female, around 103-104 pounds and about 5'3. How do I gain weight? I've been thin my entire life and no matter what I do I just can't gain weight. Help ??"	Diet & Fitness	1463472080000
YA:20160517010428AA7Ftxu	Am I done growing?	"I am currently a junior in high school, standing at 6 foot 8.75 inches tall as of May 16, 2016. In ninth grade, I measured in at 6 foot 7 inches. I have grown 1.75 inches since I was a freshman. I am just wondering: do you guys think I m done growing? I will be turning eighteen years old this July, and it s kind of getting worrysome to me. I wouldn t mind hitting 7 foot but anything above that would be kind of startling..."	Men's Health	1463472268000
YA:20160517010457AAzixN2	My computer crashes when i play 8 ball pool why?		Snooker & Pool	1463472297000
YA:20160517010714AAcYv9p	Im 12 and my penis is too small?	Hi im 12 years old but im going 13 in july 13 but i was worried because my penis is too small my penis is like 1.3 when soft and 2.1 when hard is that normal im so nervous if my penis is abnormal but i have pubic hair if my penis getting bigger if im older? Plssss tell me advice and ever im doing handjob my penis releases like a sticky liquid and the color is like cloud is that *** or pre ***?	Men's Health	1463472434000
YA:20160517010823AAJxnJV	I have a question ..............?	Rickshaw puller of my country tried to kill me every-day ..........  What to do about them  ?????	Maintenance & Repairs	1463472503000
YA:20160517010857AAOhDaJ	Why are Europeans so obsessed with us Americans and our culture and Donald Trump when they are not apart of our society?		Other - Europe	1463472537000
YA:20160517011250AAWDiC4	Kelpie randomly attacked another dog.. help?	"Kelpie, 10 months old. /nDog park 5 days a week since he was 8 weeks old. /nNo abuse in his past. /n/nHe is normally VERY submissive. When play rough with or even if another dog moves too quick towards him he will put his tail behind his legs and and lay down... when attacked on rare occasions he doesn t even fight back which is quite sad as I didn t know whether he knew how to defend himself or not until today... /n/nSo I went to the park as usual, got out of the car, he saw this dog from distance and lost it... never seen him do this before, tail up (never up...) hair up and teeth showing and began to bark and growl... scary as hell... I took him in as there is only one was to teach a dog right from wrong and every time this other dog came close my dog would lose it. As I kept grabbing him and telling him off he slowly became better to the point where he tried to sniff the other dog but then out of nowhere tried to bite him  so I left. /n/nThis was a dog he hasn t seen before however new dogs come to the park all the time (aggressive of submissive), some have a problem with him as sometimes he is quite energetic but he never has a problem with them... /n/nAm I over socializing? Do some dogs just not like the look of others? Anyone have similar stories? /n/nMy main worry is that they were not within distance of play or sniff... he just looked at it and lost his ****... what if this happens with a ltitle kid...?"	Dogs	1463472770000
YA:20160517011350AANNaAQ	Why did Amir put money under the frauds dresser ?		History	1463472830000
YA:20160517011659AAuBHmq	How to lose weight when I can t exercise?	"So, I have seizures, so severe that I cannot go to the gym and use equipment. I ve gained weight because of this. How can I lose weight if I can t do exercise? Of course I do simple exercises at my home, but that doesn t seem to do much.."	Diet & Fitness	1463473019000
YA:20160517011747AA7bWvb	Can you wear a Mini Skirt with Combat Boots?		Fashion & Accessories	1463473067000
YA:20160517012403AARfkFd	Why do people in Japan/East Asia hate marijuana so much?	"I'm American of Asian descent and I've used marijuana plenty of times but have stopped using it. I don't encourage people to smoke pot and it can make you lazy and paranoid but very few if any people have died from weed and it's impossible to overdose on it according to many studies. So why is it so illegal in Japan and other East Asian countries when here in the US it's illegal in most places but considered a minor crime, usually resulting in a fine or few days or weeks in jail for simple possession at worst. Why is it okay for people to smoke cigarettes and drink alcohol but not to smoke pot? I have nothing against drinking and have drank. However I just don't get it./n/nEven though I don't necessarily want it legal in Japan for recreational use why isn't it used medicinally there like in some US states like California, etc?"	Japan	1463473443000
YA:20160517012456AAkn4XX	Why can't I just be normal?	"I don't understand why I just can't be normal, I feel completely left out I am 16 and feel like lower than everyone else. /nI am type 1 diabetic, I have been kicked out of my last school, I have no friends and I have always been different from everyone. I struggle in social situations even though I want to fit in and be like them. The only thing that I hang on to at the moment is learning languages and listening to music because it's the only thing that takes my mind of everything else. /nI have tried to kill myself once in the last year and people still think I am a threat to myself. /nThe diabetes will probably kill me early anyway./nWhen I see people just being happy my age and their is me having to take insulin before everymeal and not be able to socialise. /nWhy why why can't u just be normal?!"	Diabetes	1463473496000
YA:20160517012614AAjhT0K	Should I get waist 36 inch jeans if my usual size is 35 inch?	This jeans I like has size 34 and size 36. No size 35 but my jeans waist size is 35. So should I get the 36 or will it be too loose?	Fashion & Accessories	1463473574000
YA:20160517012954AA0EBRB	What are some good techniques to rub one out at the office?	I already know the one about the pretending to work while pulling it then shooting my ball snot onto the carpet and rubbing it into the carpet what are some other methods?	Cleaning & Laundry	1463473794000
YA:20160517012957AAhmxEk	Do the manual (spray hose) car washes in your area use Hot Water?	"I recently relocated to Las Vegas, Nevada...   none of the car washes I've used here have hot water.  When I asked about this, everyone acted like I was crazy.  They said that there are no manual car washes in the world that use hot water."	Maintenance & Repairs	1463473797000
YA:20160517013309AAjCoMf	What exercises should I do at the gym to get lean and strong for my arms. Bi's and tri's . 6-8 exercise preferred . Thanks?		Diet & Fitness	1463473989000
YA:20160517013344AA46m8f	How can some people go to school from 9am-4pm and then work from 6pm-11pm and still get straight a's?		Diet & Fitness	1463474024000
YA:20160517013511AA3AM56	One of my spacers fell on and it hurts is it normal?	I've had my spacers for almost 3 weeks and I'm supposed to get them removed in about two days. I woke up last noght with pain in my mouth and when i looked on of my spacers had fell. It hurts. Is the pain normal? I knew they where going to fall out bur i didn't expect it to hurt	Dental	1463474111000
YA:20160517013605AAwKMRu	How does one keep hope?	"I have a roof over my head and food evryday studying a course and have a part time job which I know are all things I should be grateful for and I am, my relationship with my mother is geting worse my sister is an idiot who never grows up even at 21 years of age she has 2 kids nvr has any money or takes responsibility and keeps bringin my disabled mother n every1else down with her I sufer terrible anxiety and smtimes depresion, Ivhardly any frnds and the ppl I do have I feel they aren't even there for me anyway, I feel worthles alwys think about suicide n wonder what the hell is the point of being here? People will say don't be sily of course people care about you but I am very intellignt n I think it's pretty clear that if ur fone is never buzing (unless it's your phone company) that no one could give 2 shits about whether you exist and it seems pretty acurate that if I ended my life no one would care, I am a nice and caring person and I think I have a lot to offer but the problems I have are making me more and more bitter and unmotivated It's like the devil and Angel are on both shoulders one telling me to have that bit of hope to keep going and the other saying don't be dumb you know it's not even worth it and no one cares anyway. I'm nt living my life to the fullest iv tried to pull myself out and see psycologists etc trying to get help but I feel so weak and exhausted and don't know if I can do it anymore.How do people do it?Surely I'm not only one who has felt this Way"	Mental Health	1463474165000
YA:20160517013633AAsDsM0	What is the difference between a book review and a summary ?	"I am doing a school assignment. I am supposed to be doing a ''Book Review'' and now that I am typing it I am wondering what the difference really is between a book review and a book summary. My teacher said in the syllabus that one of the three things that our review should do is ''accurately outline the argument of the book, perhaps chapter by chapter.'' That seems like a summary to me. I am confused. Should I even include the ending of the story in my review ? Please help me./nI'm looking for a detailed answer, please."	Books & Authors	1463474193000
YA:20160517013817AAlteQC	Is this an okay hairstyle?	http://img.prntscr.com/img?url=http://i.imgur.com/jZ7qRqp.jpg	Hair	1463474297000
YA:20160517013841AA2pQdm	West Side Story Song: &quot;Gee Officer Krumpkie we're very sorry. We never had the love every child oughta get.&quot;?		Books & Authors	1463474321000
YA:20160517014008AAkh9ep	How big is anacre in miles?		Las Vegas	1463474408000
YA:20160517014234AAsC5yP	"I'm 14 and male, is it too late for me to get Tourettes? Sorry I'm super paranoid that soon I will get Tourettes and have them for life.?"		Mental Health	1463474554000
YA:20160517014324AAVedc9	Hypothesis Help!!!?	"Devise a hypothesis on the increase of homelessness, many organisations are working to eradicate it but much is still be done?"	Maintenance & Repairs	1463474604000
YA:20160517014404AACx9jl	What is my actual bra size?	"I m 15 and 5 6'' and usually wear a 34A or 32A. My mom won t take me to get professionally fitted so I don t know my real size./n/nThe 36A has small gaps in the cups and the band feels really loose even on the tightest hook. The 34A band is tight and the cups still have tiny gaps./n/nMy measurements are 32'' under, 36'' at the fullest point, and 34'' above. I used three online calculators and they said 34D, 32D, and 36B. That seems really big since the 34A cups are big, but I measured twice (without bra). Did I do this right or should I be wearing a different size?"	Women's Health	1463474644000
YA:20160517014647AAAGOlX	Replace protein powder with eggs?	"I am a skinny female and I would like to gain some healthy weight by exercising. I can't afford protein powder so I thought that I can eat a protein meal after working out. 5 half boiled eggs, 400gr semi skimmed milk and peanuts. Will I get the protein I need? Is it healthy?"	Diet & Fitness	1463474807000
YA:20160517014719AARA8XX	Is it odd to have wingspan shorter than height?(4 to 5 cms less) or longer by same. (It doesn't follow the vitruvian man model)?	"Some stats/n1. I am about 167cms tall and my wingspan is 171cms. /n2. My friend is 174-175cm tall with wingspan of 171-172cms(same as mine...same shoulder width, arm length and same hand size)./n3. My another friend is 175cms tall with wingspan of 180cms. /n4. One of my female friend is 173cms in height and wingspan of 168cms./nYet none of us seems to be out of proportion or even looks odd or weird (with smaller or larger wingspan). But also none of us is similar in proportions to the vitruvian man. /nSo it is normal to have +/- deviations in wingspan normal? and will these deviations be noticeable to you(to me they look normal). If yes, how much deviation will be noticeable to you(approximately...for me it can be more than 6 or 7cm in both directions to be categorized as long or short arms) /nThanks"	Men's Health	1463474839000
YA:20160517014834AAMhVyq	How do you like this chair? A good choice for my painful back?	"Due to the majority of my day sitting at desk, now my back usually aches a lot. So I really need a chair that I can ease back pain. I'm so cautious to decide which chair to buy. I searched many chairs online. I found this chair which I think can meet my requirements:/nhttp://www.amazon.com/VIVA-OFFICE-Leather-Headrest-Armrest/dp/B01A9PEBA0/nIt has high back with soft spring pack padding and allows the chair to tilt back, or sit forward. I think it's a good choice for me to buy. What do you think?"	Decorating & Remodeling	1463474914000
YA:20160517014949AAPSsDr	Can you hit puberty late?	"Okay so I was like 13 when I got my period but I never really had bad acne I'd get 1 or 2 pimps a month, but around a month after I turned 18, suddenly my acne became really ******* bad, its all over my face and spread from my shoulder's to my chest slightly along the path of my shoulder wing bones or whatever you call them. My moms a nurse but doesn't really know this stuff but she said maybe I'm hitting puberty late and thats why I'm getting the acne and she made a joke about booth growth which I really didn't mind since I like being flat, but lately my periods have been extremely ******* painful, and they are irregular. They dont start every 28 days its more like 48, 36, 32, 28 and sometimes back to 48 but it doesn't really have a pattern.There is also pain a few days after my period ends its sharp./nAnybody have any clues?"	Women's Health	1463474989000
YA:20160517015009AA8tphZ	"Tell me which way is best to remove body hair for men? wax,cream or razor?"		Other - Skin & Body	1463475009000
YA:20160517015150AAahDSY	"I am 14 and parents wants me to shave, but i only have some tiny hair, they say that i have to shave in order to get beard, is this correct?"		Hair	1463475110000
YA:20160517015354AA4o0Eb	What s the history of TV Theme Music?	"About what time (dates, if possible) did it begin to develop? What country began it? Which people started it? What s the development of this genre till now?/nAny help would be appreciated. Thanks!"	History	1463475234000
YA:20160517015514AAwMnPk	DRAMA SCRIPT HELP?	"I need to make a drama script with four main characters. I would like it to be about four ghosts and their issues of not being able to scare. But like any other play, I need a main problem and climax. ideas?"	Theater & Acting	1463475314000
YA:20160517015728AAKFWQE	Will wigs like the 1600s and 1700s ever come in fashion again someday?		Fashion & Accessories	1463475448000
YA:20160517020213AAxh1Hx	How effective is Class Warfare 101 which Shorten espouses? Shorten has stated that he is not concerned about those on $80000 and above as?	they are rich and would never vote Labor. He has also previously said the same about $60000 and above. Is it possible to win an election in this way and do people vote so simplistically ?	Other - Australia	1463475733000
YA:20160517020424AAprDhf	I am going to purchase Fitbit Alta. Will I need to plan on charging it right after purchase and how long does it take to completely charge?		Diet & Fitness	1463475864000
YA:20160517020820AATw2gL	Hello I m 16 and I was wondering if I could purchase a vape and liquid juice ? Thanks for advising:)?		Diet & Fitness	1463476100000
YA:20160517021154AA1xIki	Orgasms from dreams?	"Happens, and sometimes, it actually wakes me up. I'm 34, and feel that I'm too old for this ****. When I was younger, I could ''get off'' just by kissing someone, and it was embarrasing. Thankfully that doesn't happen anymore, lol. Well, what I'm getting at.. do any other women have/had this ''problem.'' Thanks.."	Women's Health	1463476314000
YA:20160517021313AA7p8jc	How did restoration effect the colony of New England?		History	1463476393000
YA:20160517021631AA74QeW	Going for vacations in panama city beach?		Panama	1463476591000
YA:20160517021830AAiMcOE	I how do I stop my tongue from hurting?	"I ate very sour candy on Wednesday, then on Saturday I noticed my tongue was sore. Sunday morning it was hurting a lot and found several little red painful lumps on my tongue. Its Tuesday now and they re more painful than ever, I cannot eat, drink or swallow without it hurting my tongue. What can I do to make it go down? Im so sick of this constant pain"	Pain & Pain Management	1463476710000
YA:20160517022109AAaUAKp	Wounded by the teeth of the dog (vaccinated)?	"HI!, I just got a little scratch, it's a small wound, by the dog. I accidentally placed my hands in his mouth and then the tooth scratched me. The dog is already vaccinated against rabies ( just about 3 weeks ago ). Do I still need to get vaccinated?"	Dogs	1463476869000
YA:20160517022130AA3gCsh	Can a guy actually resemble a girl ?	"im a boy i got told that i resemble Eva Marcile,  Margot Robbie, first it shocked me? does that mean im feminine or maybe my friends were joking ?? /n/nPIC https://farm3.staticflickr.com/2848/13540274954_2d67c30a89_b.jpg"	Theater & Acting	1463476890000
YA:20160517022352AA3L31H	Can anyone give advice on panama city beach?		Panama	1463477032000
YA:20160517022403AAwgbWu	I want to9 name my coffe shop any name I can use plis?		Dogs	1463477043000
YA:20160517022642AAIbRpm	I cant sleep.?	I fell asleep around 2:00 am thos morning after reading a book for a while and woke up three or four times before decideding that i couldn't fall back asleep. I have had trouble sleeping befor but it was usualy just waking up a couple of times and falling right back asleep with no problems. I would expect to have insomnia from stress but i really dont have anything going on in my life right now. I have no idea what to do and i dont want to wake my parents up trying to put myself back to sleep. I dont know if this makes a difference but i am 14 years old.	Other - General Health Care	1463477202000
YA:20160517022756AAascCb	Where can i purchase NY STATE MOP?		Cleaning & Laundry	1463477276000
YA:20160517022815AALBxVZ	Can molds grow on wooden drawers that are not exposed to any water source?		Garden & Landscape	1463477295000
YA:20160517023009AAxGmLm	Where can i get jackets like Jessica Alba Hot Pink Leather Jacket?	"A perfect example of style at its peak is no other than Jessica Alba.The most hot of all the most classy of all and the most stylish of all completing all her marksÌâ  in this world.The most best thing about her that she does not fix her self with one style and make others bond to follow, The best thing about her that she changes her style according to public needs and demands as well as with time She always amaze her inspiring followers to get her new style clothes with cool in thing. Buy it now at Famousmoviejackets.com"	Fashion & Accessories	1463477409000
YA:20160517023215AAkrrQO	What is soil?		Garden & Landscape	1463477536000
YA:20160517023405AAheUzp	Why do my led spot light still glow when I switched off it?		Maintenance & Repairs	1463477645000
YA:20160517023626AAvNGdk	I been having BV ever since I been using trojan magnum condoms is there a reason why?		Women's Health	1463477786000
YA:20160517023827AAxJVNH	Should i show my penis to my swimmates while dressing ?they want to see . i am 14 and have a 13.8 cm long one withsome hair.?		Hair	1463477907000
YA:20160517024244AAl8JLR	Large concrete areas in Los Angeles to drift?	"Are there any areas in or near los angeles, that are large flat concrete areas, where I can take my car to drift?"	Los Angeles	1463478164000
YA:20160517024412AADts1z	What does a vaginal culture swab test for?	"A few weeks back, I had a pelvic exam, and they took a culture swab because they thought I had a yeast infection (it turns out, I didn't)./n/nWhen I went in for my follow up, they said it tested negative for candida. What else might they have tested for? They weren't sure what the irritation was caused by, so I'm assuming they might have tested for STDs, BV, etc."	STDs	1463478252000
YA:20160517024541AAJzCkn	What is orgasm? please explain it?		Women's Health	1463478341000
YA:20160517024747AA9Q82H	Is it true that white girls of Northwestern european ancestry are very rarely tall and voluptuous if not mixed with Eastern and southern...?	"....european ethnic groups like slavic , italian ,Hungarian ,Romanian ,albanian ,lithuanian people ?/n/nFor Northwestern european ancestry i mean of german ,irish, british ,french, dutch ,Scandinavian origins ."	Genealogy	1463478467000
YA:20160517024933AAt1IZG	Which of these watches look best for Father's Day? Okay fellas ... need some input!?	Just logged on and saw Amazon has really impressive sales on some watches. http://amzn.to/1Yy8R8U Which look like the best bet for Father's Day?	Fashion & Accessories	1463478573000
YA:20160517025051AAk82Y7	Do we look alike?	I always hear I look like her!! ??/n/nhttps://scontent-ord1-1.xx.fbcdn.net/t31.0-8/fr/cp0/e15/q65/13248372_948243111939697_365741385611169011_o.jpg?efg=eyJpIjoidCJ9	Fashion & Accessories	1463478652000
YA:20160517025133AAoqSbn	I only bleed for one day last month no periods and have mild cramps in lower abdomen with mild diarrhea?		Women's Health	1463478693000
YA:20160517025302AAPZ0WZ	Do you think the Brewers will ever trade Ryan braun?		Baseball	1463478782000
YA:20160517025412AADNzfS	Can i feed my bearded dragon normal house crickets?		Reptiles	1463478852000
YA:20160517025851AA6K6UB	So I have a pitbul about a year and half and she keeps pissing on my bed when she gets excited when she sees me how do I stop this ?		Dogs	1463479131000
YA:20160517025959AAfptJ3	Words that start and end with r?		Fantasy Sports	1463479199000
YA:20160517030123AArmLDz	What is this upper left chest cramp?	"Since I've been working out for 4 years with weights, I've had this spasm or something. Idk how to really explain. But it's in upper left chest where you put your hand to feel your heart beat. It's a pain that happens every like other day or week. It's a flash of a quick cramp, lasts 2 seconds. Then it'll sometimes repeat after 5 mins. Do I have clogged artery? I'm only 31 years old, eat healthy. I don't have high BP. My heart BPM is normal."	Heart Diseases	1463479283000
YA:20160517030523AA9cprv	"Is their any event's that have something to do with either autism,anxiety,ADHD or sensory issues coming up in the next few months. Worldwide?"		Mental Health	1463479523000
YA:20160517030954AAuHOQN	Will I be bald if my father is bald?	"My dad started balding at age 36-37 , his hairline was perfect when he was in his 20s and early 30s, now he is 60 and completely  bald/nMy grandfather on my dad side had a perfect hairline even in his 60s/nMy uncles on my dad side aren't bald, their hairline isn't  perfect but they are already 45-50 years old/n/nOn my mother side there are no signs  of baldness./nMy maternal grandfather is 70 and has a lot of hair/nAnd my maternal uncles have perfect hairlines and the are all aged between 35 and 50/n/nI am 21 and i have no sings of badness /nWill I be bald in your opinion?"	Hair	1463479794000
YA:20160517031226AAFacWV	AAU/Travel basketball question?	"If a basketball team's game is cancelled and never rescheduled, can they play a different team to make up for it? Would it all depend on the league? Thank you."	Basketball	1463479946000
YA:20160517031432AA7LCn3	How can iget my tax identificartion number?		United States	1463480072000
